Feature,Importance
remainder__Present_Price,0.88160289839804
remainder__Car_Age,0.04731804114214706
remainder__Year,0.029285158660085613
categorical__Car_Name_land cruiser,0.016784676108983185
remainder__Driven_kms,0.008680943813467033
categorical__Fuel_Type_Diesel,0.004279089606253208
categorical__Fuel_Type_Petrol,0.0038399908189930476
categorical__Transmission_Manual,0.003343922958933615
categorical__Transmission_Automatic,0.0025490409560177483
categorical__Car_Name_verna,0.00047326262771179423
categorical__Car_Name_fortuner,0.0003153648396309723
categorical__Car_Name_elantra,0.00023297529490576892
categorical__Car_Name_jazz,0.0001570977924069985
categorical__Car_Name_etios gd,0.00013368236081306528
categorical__Car_Name_city,0.00011891611157802198
